Network Container,Description
10.2.0.0/16,Secure Core EC Overlay
10.4.0.0/16,Secure Core EC Non-Prod
10.6.0.0/16,Secure Core EC UAT
10.114.0.0/18,Secure Core EC eDMZ Services
10.3.0.0/16,Secure Core EQ Overlay
10.5.0.0/16,Secure Core EQ Non-Prod
10.7.0.0/16,Secure Core EQ UAT
10.166.0.0/16,Infrastructure Interconnects & Management Zone
10.167.0.0/16,Server VIPs (Prod & DR)
10.168.0.0/16,Production Server Ranges
10.169.0.0/16,DR Server Ranges
10.170.0.0/16,NP Server Ranges (Non-Prod - Previously DR IO)
10.171.0.0/16,iLO & Deployment Networks (Prod & DR)
10.172.0.0/16,Future Backup Networks (Prod & DR)
10.173.0.0/16,Partner VPN NAT Ranges
10.30.0.0/16,Infrastructure Interconnects & Management Zone
10.31.0.0/16,Server VIPs (Prod & DR)
10.74.0.0/16,Production Server Ranges
10.75.0.0/16,DR Server Ranges
10.76.0.0/16,NP Server Ranges (Non-Prod - Previously DR IO)
10.77.0.0/16,Partner VPN NAT Ranges
10.202.0.0/16,Future Backup Networks (Prod & DR)
10.203.0.0/16,iLO & Deployment Networks (Prod & DR)
10.134.0.0/16,Infrastructure Interconnects & Management Zone
10.135.0.0/16,Server VIPs (Prod & DR)
10.136.0.0/16,Production Server Ranges
10.137.0.0/16,DR Server Ranges
10.138.0.0/16,NP Server Ranges (Non-Prod - Previously DR IO)
10.139.0.0/16,iLO & Deployment Networks (Prod & DR)
10.140.0.0/16,Future Backup Networks (Prod & DR)
10.141.0.0/16,Partner VPN NAT Ranges
10.232.0.0/16,AUS IPTEL Enterprise - Major Sites - SLDC
10.53.0.0/16,Legacy Server Farm
10.55.176.0/22,
10.55.220.0/22,
10.55.236.0/22,
10.55.240.0/22,
10.56.0.0/16,
10.57.0.0/16,
192.168.0.0/16,Legacy DMZ
172.27.247.0/24,DMZ Range
10.23.128.0/17,Norwest SF5
10.166.128.0/17,
10.166.190.0/24,
10.30.128.0/17,
10.134.128.0/17,
10.23.0.0/17,Norwest EFT Switch Prod & Non-Prod Environments
10.24.0.0/17,PDC EFT Switch Prod & Non-Prod Environments
10.124.0.0,
10.125.0.0,
10.116.0.0/16,DPC EQ
10.122.0.0/16,DPC EQ
10.152.0.0/16,DPC EC
10.154.0.0/16,DPC EC
10.17.0.0/16,WoW Azure Australia East (Sydney)
10.29.0.0/16,
10.18.0.0/16,WoW GCP
10.15.0.0/22,WoW SAP HEC Subnet1
10.16.0.0/16,WoW AWS IP Subnet1
10.116.0.0/16,EQDC - WHS (Woolworths Hosted Systems)
10.152.0.0/16,ECDC - WHS (Woolworths Hosted Systems)
10.32.0.0/12,Stores NSW+ACT
10.64.0.0/13,Stores QLD
10.96.0.0/13,Stores VIC
10.108.0.0/15,Stores VIC
10.128.0.0/14,Stores WA
10.132.0.0/16,Stores WA
10.160.0.0/14,Stores SA + NT
10.164.0.0/15,Stores SA + NT
10.224.0.0/15,Stores TAS
10.83.0.0/16,All BWS sites within all states
10.147.0.0/16,All BWS sites within all states
10.148.0.0/16,All BWS sites within all states
10.179.0.0/16,All BWS sites within all states
10.243.0.0/16,All BWS sites within all states
10.55.0.0/16,Big W NSW + ACT sites
10.59.128.0/17,Big W NSW + ACT sites
10.87.0.0/16,Big W QLD sites
10.119.0.0/16,Big W VIC sites
10.151.0.0/16,Big W WA sites
10.183.0.0/16,Big W SA + NT sites
10.247.0.0/18,Big W TAS sites
10.199.0.0/16,ALH sites
10.0.0.0/16,IPEVO WAN & Loopback Allocations
10.0.64.0/20,WAN addresses NSW + ACT
10.0.80.0/21,WAN addresses QLD
10.0.88.0/24,WAN addresses QLD
10.0.89.0/24,WAN addresses VIC
10.0.90.0/23,WAN addresses VIC
10.0.92.0/22,WAN addresses VIC
10.0.96.0/22,WAN addresses VIC
10.0.100.0/23,WAN addresses VIC
10.0.102.0/24,WAN addresses VIC
10.0.103.0/24,WAN addresses WA
10.0.104.0/22,WAN addresses WA
10.0.108.0/22,WAN addresses SA + NT
10.0.112.0/23,WAN addresses SA + NT
10.0.116.0/22,WAN addresses any
10.0.136.0/22,WAN addresses any
10.0.192.0/21,WAN addresses any
10.48.196.0/22,Infra Lan CAB 8/9/10 (Dev)
10.42.12.0/22,VCI/Logistics Infra Lab
